Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,451808,4/10/2019,"Senior Lecturer, Anatomy/Medical Education",1 month 5 hours,Expired,2,Medical sciences › Medicine,Permanent,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,399818,15/04/2019,Professor/ Associate Professor of Stem Cell Biology and Regenerative Medicine,1 month 1 day,Expired,1,"Biological sciences › Biology, Biological sciences › Biological engineering, Medical sciences › Medicine",Permanent,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,398322,10/4/2019,Postdoctoral Research Fellow in Lipidomics (Infectious Diseases) in lab of Asst Prof Guan Xue Li,1 month 8 hours,Expired,1,Biological sciences › Biology,Other,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,398321,10/4/2019,Postdoctoral Research Fellow (Infectious Diseases) in lab of Asst Prof Guan Xue Li,1 month 8 hours,Expired,1,Biological sciences › Biology,Other,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,396571,4/4/2019,Professor of Medicinal Chemistry,1 month 6 days,Expired,1,"Biological sciences › Other, Chemistry › Biochemistry, Medical sciences › Medicine, Pharmacological sciences › Other",Permanent,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,392877,25/03/2019,Assistant Professor of Drug Delivery Research,1 month 6 days,Expired,1,Medical sciences › Medicine,Other,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,355786,16/11/2018,"Professor / Associate Professor and Director, Centre for Biomedical Informatics",1 month 2 weeks,Expired,1,"Biological sciences › Biology, Computer science › Informatics, Medical sciences › Medicine",Permanent,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,344022,8/10/2018,Professor / Associate Professor / Assistant Professor in microbiome-host interactions,1 month 3 weeks,Expired,1,"Biological sciences, Medical sciences",Permanent,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,336978,6/9/2018,Professor of Medical Education Research and Director of Medical Education Research & Scholarship Unit (MERSU),4 weeks 1 day,Expired,1,Educational sciences › Other,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,309713,28/05/2018,Assistant Professor of Molecular Epidemiology,1 month 2 days,Expired,1,Medical sciences › Other,Permanent,,Not funded by an EU programme
