Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,508844,28/03/2020,University Assistant (postdoc),2 weeks 6 days,Expired,1,Pharmacological sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,506926,21/03/2020,Senior Lecturer (Diploma/Master),2 weeks 6 days,Expired,1,Technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,506927,21/03/2020,University Assistant (PhD position),2 weeks 6 days,Expired,1,Economics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,506928,21/03/2020,Assistant Professor - Tenure Track,2 weeks 6 days,Expired,1,Economics › Marketing,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,505784,19/03/2020,University Assistant (PhD position),2 weeks 6 days,Expired,1,Economics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,504459,14/03/2020,University Assistant (postdoc),1 month 1 week,Expired,1,"Cultural studies, Language sciences",Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,504060,13/03/2020,University Assistant (postdoc),1 month 1 week,Expired,1,Economics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,504061,13/03/2020,University Assistant (postdoc),1 month 1 week,Expired,1,Economics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,503161,11/3/2020,University Assistant (PhD position),2 weeks 6 days,Expired,1,Economics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,503162,11/3/2020,University Assistant (postdoc),2 weeks 6 days,Expired,1,Geosciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,502708,10/3/2020,University Assistant (postdoc),2 weeks 6 days,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,502709,10/3/2020,University Assistant (postdoc),2 weeks 6 days,Expired,1,Physics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,501981,7/3/2020,Assistant Professor - Tenure Track,2 months 2 days,Expired,1,Computer science,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,501982,7/3/2020,Assistant Professor - Tenure Track,1 month 1 week,Expired,1,Computer science,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,501298,6/3/2020,University Assistant (PhD position),1 month 2 weeks,Expired,1,Juridical sciences,Temporary,,Not funded by an EU programme
