Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Belgian Nuclear Research Centre,"Environment, Health and Safety","Radiation protection, Dosimetry and Calibration",Public Research Institution,551566,19/08/2020,PhD position - In vivo dosimetry system for patient safety during radiotherapy,2 weeks 1 day,Expired,1,"Engineering › Biomedical engineering, Engineering › Computer engineering, Physics › Applied physics, Physics › Biophysics",Temporary,,Not funded by an EU programme
Belgian Nuclear Research Centre,"Environment, Health and Safety","Radiation protection, Dosimetry and Calibration",Public Research Institution,500573,4/3/2020,"PhD position on ""Advancement of personal neutron dosimetry by establishment of flexible reference simulated neutron workplace fields and computational neutron dosimetry""",2 weeks 2 days,Expired,1,"Physics › Neutron physics, Physics › Computational physics, Physics › Metrology",Temporary,,Not funded by an EU programme
Belgian Nuclear Research Centre,"Environment, Health and Safety","Radiation protection, Dosimetry and Calibration",Public Research Institution,475424,23/12/2019,PHD position: HERMMES - Hadron Energy Resolved Measurement using Magnetic Electron Separation,2 months 2 weeks,Expired,1,"Engineering › Biomedical engineering, Physics › Solid state physics, Physics › Electromagnetism, Physics › Applied physics",Temporary,,Not funded by an EU programme
Belgian Nuclear Research Centre,"Environment, Health and Safety","Radiation protection, Dosimetry and Calibration",Public Research Institution,475424,23/12/2019,PHD position: HERMMES - Hadron Energy Resolved Measurement using Magnetic Electron Separation,2 months 2 weeks,Expired,1,"Engineering › Biomedical engineering, Physics › Solid state physics, Physics › Electromagnetism, Physics › Applied physics",Temporary,,Not funded by an EU programme
Belgian Nuclear Research Centre,"Environment, Health and Safety","Radiation protection, Dosimetry and Calibration",Public Research Institution,177428,31/01/2017,PhD position on Medical alpha emitting radionuclides: how to correlate microdosimetry with biological effects?,1 month 1 day,Expired,1,"Biological sciences › Biological engineering, Medical sciences › Other, Physics › Biophysics",Temporary,,Not funded by an EU programme
Belgian Nuclear Research Centre,"Environment, Health and Safety","Radiation protection, Dosimetry and Calibration",Public Research Institution,177387,31/01/2017,"PhD position on ""Photon and proton small field dosimetry based on dose-area product""",1 month 3 weeks,Expired,1,"Biological sciences › Biological engineering, Medical sciences › Other, Physics › Biophysics",Temporary,,Not funded by an EU programme
Belgian Nuclear Research Centre,R&D Disposal,,International / Intergovernmental Organisation,599739,29/01/2021,PhD position: Synergetic influence of leaching and alkali-silica reaction on the properties of cemented waste-forms containing high nitrate content,3 weeks 13 hours,Published,2,"Engineering › Civil engineering, Engineering › Chemical engineering",Temporary,,Not funded by an EU programme
Belgian Nuclear Research Centre,R&D Disposal,,International / Intergovernmental Organisation,599729,29/01/2021,"PhD position: Evolution of microstructure, mineralogy and mechanical properties of metakaolin-based geopolymer under irradiation at early ages",3 weeks 14 hours,Published,1,"Engineering › Civil engineering, Engineering › Chemical engineering",Temporary,,Not funded by an EU programme
Belgian Nuclear Research Centre,R&D Disposal,,International / Intergovernmental Organisation,597557,22/01/2021,PhD position: Multi-scale study of internal swelling reactions in concrete,4 weeks 18 hours,Published,1,"Engineering › Civil engineering, Engineering › Materials engineering",Temporary,,H2020
Belgian Nuclear Research Centre (SCK•CEN),Institute for Nuclear Materials Science,Radiochemistry,Public Research Institution,175198,27/01/2017,PhD position in Radiochemistry group (SCK•CEN),1 month 1 day,Expired,3,"Chemistry, Engineering, Medical sciences, Pharmacological sciences",Temporary,,Not funded by an EU programme
