Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,561410,24/09/2020,Open competition for the selection of doctoral students and candidates within the framework of Project Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,1 month 2 weeks,Expired,1,Economics,Other,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,543575,20/07/2020,Open competition for the selection of doctoral students and candidates within the framework of Project Specific Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,2 weeks 4 days,Expired,1,Economics,Other,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,531406,11/6/2020,Open Competition for the International Academic Staff Vacancies within the framework of Project 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,2 weeks 5 days,Expired,3,Economics,Other,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,520668,6/5/2020,Open competition for the selection of doctoral students and candidates within the framework of Project Specific Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,1 month 2 weeks,Expired,3,"Chemistry, Economics",To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,500092,3/3/2020,Open competition for the selection of doctoral students and candidates within the framework of Project Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,3 weeks 3 days,Expired,5,"Agricultural sciences, Architecture, Other",To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,500090,3/3/2020,Open Competition for the International Academic Staff Vacancies within the framework of Project Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,4 weeks 8 hours,Expired,6,"Agricultural sciences, Economics, Other",To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,466815,26/11/2019,Open competition for the selection of doctoral students and candidates within the framework of Project 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,2 weeks 6 days,Expired,2,Agricultural sciences,To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,461834,11/11/2019,Open competition for the selection of doctoral students and candidates within the framework of Project 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,1 week 4 days,Expired,1,Agricultural sciences,To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,461831,11/11/2019,Open Competition for the International Academic Staff Vacancies within the framework of Project 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,1 week 4 days,Expired,2,"Agricultural sciences, Computer science",To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,452999,9/10/2019,Open Competition for the International Academic Staff Vacancies within the framework of Project 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,2 weeks 2 days,Expired,1,Architecture,To be defined,,Not funded by an EU programme
