Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538845,3/7/2020,Technician of Key Laboratory for Guangxi Medicinal Resources Protection and Genetic Improvement,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538844,3/7/2020,Technician of Key Laboratory for Guangxi Medicinal Resources Protection and Genetic Improvement,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538843,3/7/2020,Technician of National Engineering Laboratory for Endangered Medicinal Resources Development in Southwest China,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538832,3/7/2020,Marine Researcher 2,1 month 4 weeks,Expired,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538831,3/7/2020,Marine Researcher 1,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538830,3/7/2020,Biological Researcher 2,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538829,3/7/2020,Biological Researcher 1,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538828,3/7/2020,Environmental Science Researcher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538827,3/7/2020,Optical Researcher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538826,3/7/2020,Researcher 9,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538825,3/7/2020,Researcher 8,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538824,3/7/2020,Researcher 7,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538823,3/7/2020,Researcher 6,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538822,3/7/2020,Researcher 5,1 month 4 weeks,Expired,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538821,3/7/2020,Researcher 4,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538820,3/7/2020,Researcher 3,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538819,3/7/2020,Researcher 2,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538818,3/7/2020,Researcher 1,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,538817,3/7/2020,Technical manager,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537940,1/7/2020,Pharmaceutical Engineering Teacher,1 month 4 weeks,Expired,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537938,1/7/2020,Pharmaceutical Engineering Teacher,1 month 4 weeks,Expired,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537937,1/7/2020,Analytical chemistry teacher,1 month 4 weeks,Expired,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537936,1/7/2020,Medical Microbiology Teacher,1 month 4 weeks,Expired,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537935,1/7/2020,Physiology Teacher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537934,1/7/2020,Medical Immunology Teacher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537932,1/7/2020,Teacher of Parasitology,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537931,1/7/2020,Full-time teacher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537929,1/7/2020,Teacher of School of Information and Management,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537928,1/7/2020,Teacher of Foreign Language School,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537927,1/7/2020,Teacher of Marxism College,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537925,1/7/2020,Faculty of Humanities and Social Sciences,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537922,1/7/2020,School of Nursing,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537921,1/7/2020,Researcher of Life Science Research Institute,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537920,1/7/2020,Teacher of Life Science Research Institute,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537919,1/7/2020,Teacher of Pharmacy School,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537918,1/7/2020,School of Public Health,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537917,1/7/2020,Basic Medical College Teacher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537916,1/7/2020,Imported Talent,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537915,1/7/2020,Postdoctoral,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537914,1/7/2020,"Professor, Associate professor, Assistant professor",7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534321,19/06/2020,Chief Design Engineer or Expert of Hybrid Engine,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534316,19/06/2020,Chief Engineer of Advanced Combustion System Integration and Simulation Technology,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534309,19/06/2020,Chief Technical Engineer of Heavy Power System,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534303,19/06/2020,Senior Expert in Post-processing,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534299,19/06/2020,Chief of Automatic Gearbox Matching and Calibration Development,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534298,19/06/2020,Technical Expert in R&D of Ship Electric Gas Engine,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534296,19/06/2020,Senior Engineer of Electrical Parts Design,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534292,19/06/2020,Chief engineer of big data analysis,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534291,19/06/2020,Mechanical r&d engineer,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,534286,19/06/2020,Artificial intelligence r&d engineer,8 months 6 days,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529236,4/6/2020,"CNY360,000-600,000/year + Project award + Patent award",2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529235,4/6/2020,Chief Engineer of Equipment R&D,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529234,4/6/2020,Chief Researcher,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529233,4/6/2020,"Postdoctoral (Research on vehicle networking and intelligent vehicle technology, research and development on automotive electronic wired chassis system)",2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529232,4/6/2020,Chief Design Engineer or Expert of Hybrid Engine,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529231,4/6/2020,Chief Engineer of Advanced Combustion System Integration and Simulation Technology,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529230,4/6/2020,Chief Technical Engineer of Heavy Power System,2 months 1 sec,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529229,4/6/2020,Senior Expert in Post-processing,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529228,4/6/2020,Chief of Automatic Gearbox Matching and Calibration,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529226,4/6/2020,Technical Expert in R&D of Ship Electric Gas Engine,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529225,4/6/2020,Senior Engineer of Electrical Parts Design,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529224,4/6/2020,Chief engineer of big data analysis,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529222,4/6/2020,Mechanical r&d engineer,2 months,Expired,1,Other,Temporary,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,529221,4/6/2020,Artificial intelligence r&d engineer,8 months 2 weeks,Published,1,Other,Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Research Laboratory,374765,29/01/2019,Postdoctoral Researchers in Geophysics,1 month 1 day,Expired,1,Geosciences › Geology,Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Research Laboratory,374764,29/01/2019,Postdoctoral Researchers in Geochemistry/Petrology,1 month 1 day,Expired,1,Geosciences › Geology,Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Research Laboratory,374763,29/01/2019,PhD Fellowships in geochemistry/petrology,1 month 2 weeks,Expired,1,Geosciences › Geology,Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Research Laboratory,338863,13/09/2018,Postdoctoral Researchers in Geochemistry/Petrology,1 month 2 weeks,Expired,1,Geosciences › Geology,Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Research Laboratory,338862,13/09/2018,PhD Fellowships in geochemistry/petrology,1 month 2 weeks,Expired,2,Geosciences › Geology,Temporary,,Not funded by an EU programme
Guangzhou Institutes for Biomedicine and Health,South China Institute for Stem Cell Biology and Regenerative Medicine,Genome Regulation Laboratory,Higher Education Institute,262053,26/11/2017,Postgraduate studentships in stem cell engineering at the University of Hong Kong,5 days 6 hours,Expired,2,Biological sciences › Biological engineering,Temporary,,Not funded by an EU programme
Guangzhou Regenerative Medicine and Health Guangdong Laboratory (GRMH-GDL),,,Public Research Institution,457159,24/10/2019,Post-doctoral fellow.,2 months 1 week,Expired,2,Biological sciences › Biology,Temporary,,Not funded by an EU programme
Hainan Medical University,Human Resources Department,,Higher Education Institute,588242,17/12/2020,"Director, Principal Investigator, Academic Leader, Backbone Talent",1 month 1 day,Expired,158,"Biological sciences, Chemistry, Computer science, Economics, Ethics in health sciences, Ethics in natural sciences, Language sciences, Literature, Management sciences, Mathematics, Medical sciences, Neurosciences, Pharmacological sciences, Philosophy, Political sciences, Technology",To be defined,EURAXESS-HMU,Not funded by an EU programme
Harbin Institute of Technology,School of Mechanical Engineering and Automation,,Higher Education Institute,332241,14/08/2018,Two Postdoctoral Positions in Combustion (#1 Chemical Kinetic Modelling on Soot Formation #2 Laser Diagnostics on Sooting Flames),3 months 2 weeks,Expired,2,"Engineering › Chemical engineering, Engineering › Aerospace engineering, Engineering › Mechanical engineering",Temporary,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471396,10/12/2019,Intelligent robot technology development,3 months 3 weeks,Expired,2,"Computer science › Other, Engineering › Electrical engineering",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471395,10/12/2019,Intelligent manufacturing research and development,3 months 3 weeks,Expired,2,Engineering › Mechanical engineering,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471379,10/12/2019,Speech recognition researcher,3 months 3 weeks,Expired,7,Language sciences › Languages,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471061,9/12/2019,Scarcely sourced languages-targeted corpus building and NMT research,3 months 3 weeks,Expired,1,"Language sciences › Languages, Other",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471060,9/12/2019,"Department of respiration, Radiology Department",3 months 3 weeks,Expired,1,Medical sciences › Medicine,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471055,9/12/2019,Internal Medicine-Cardiovascular Department,3 months 3 weeks,Expired,1,Medical sciences › Medicine,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471050,9/12/2019,Specialist in registration and declaration,3 months 3 weeks,Expired,1,Medical sciences › Medicine,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471042,9/12/2019,Specialist in R&D of new Chinese medicine and secondary development of Chinese patent medicine,3 months 3 weeks,Expired,1,Medical sciences › Other,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471038,9/12/2019,Specialist in Biomedical research,3 months 3 weeks,Expired,1,"Biological sciences › Biology, Medical sciences › Medicine",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471036,9/12/2019,Senior researcher of pharmacology,3 months 3 weeks,Expired,2,"Pharmacological sciences › Pharmacognosy, Pharmacological sciences › Toxicology",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,471034,9/12/2019,Expert in sustained and controlled-release preparations,3 months 3 weeks,Expired,1,"Engineering › Chemical engineering, Medical sciences › Medicine",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,469353,4/12/2019,Expert in biological preparation research,3 months 4 weeks,Expired,1,Medical sciences › Medicine,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,469352,4/12/2019,Purification and separation technology of Panax notoginseng’ components,3 months 4 weeks,Expired,1,Medical sciences › Medicine,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,469351,4/12/2019,Researcher of high-performance aluminum-based copper-clad plate,3 months 4 weeks,Expired,1,"Chemistry › Inorganic chemistry, Engineering › Materials engineering",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,469341,4/12/2019,Researcher of Internet of things application technology,3 months 4 weeks,Expired,1,Computer science › Other,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,469340,4/12/2019,Researcher of data science and big data technology,3 months 4 weeks,Expired,1,Computer science › Other,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,469285,4/12/2019,Academic leader of mechanical engineering,3 months 4 weeks,Expired,1,"Engineering › Mechanical engineering, Engineering › Materials engineering",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,469284,4/12/2019,Academic leader in the field of electronic information,3 months 4 weeks,Expired,1,"Computer science › Other, Information science › Other",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,469275,4/12/2019,Teaching and research position in Beibu Gulf Modern Port Logistics Laboratory,3 months 4 weeks,Expired,1,Economics › Business economics,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,468824,3/12/2019,R&D Project Manager,3 months 4 weeks,Expired,1,"Medical sciences › Medicine, Medical sciences › Other",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,468816,3/12/2019,"Deputy manager of the project of ""feasibility research and construction on business collaboration of the centralized purchasing platform""",3 months 4 weeks,Expired,1,"Computer science › Computer systems, Engineering › Other, Other",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,467071,27/11/2019,Bird's Nests Production Technology Consultant,4 months 5 days,Expired,2,Other,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,467070,27/11/2019,Chief Software Architect,4 months 5 days,Expired,2,Engineering › Other,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,467069,27/11/2019,Chief Engineer of Engine Failure and OBD Calibration,4 months 5 days,Expired,2,Engineering › Other,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,467068,27/11/2019,Chief Engineer of New Energy Fuel Cell Development Technology,4 months 5 days,Expired,2,Chemistry › Other,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,467059,27/11/2019,R&D Expert in Aluminium Alloys for Aerospace/ Automotive Application,4 months 5 days,Expired,2,"Technology › Industrial technology, Technology › Materials technology",Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,467057,27/11/2019,Research Associate of buffalo dairy science and processing technology,4 months 5 days,Expired,2,Other,Other,,Not funded by an EU programme
International Talent Search of Guangxi,,,International / Intergovernmental Organisation,467036,27/11/2019,Research Associate of Regulation of Maturation of Buffalo Oocytes,4 months 5 days,Expired,2,"Biological sciences › Zoology, Biological sciences › Biology",Other,,Not funded by an EU programme
