id,customer_type,title,service_count,service_category,is_draft,is_bulk,bulk_from,bulk_to,country,organization,created,modified
141,Support staff,Personalized assistance,1,Career Development,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:47,7/10/2018 8:47
141,Support staff,Personalized assistance,1,Funding opportunities,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:47,7/10/2018 8:47
141,Support staff,Personalized assistance,1,Job opportunities,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:47,7/10/2018 8:47
142,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:49,7/10/2018 8:49
142,Incoming,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:49,7/10/2018 8:49
143,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:50,7/10/2018 8:50
143,Incoming,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:50,7/10/2018 8:50
144,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:50,7/10/2018 8:50
144,Incoming,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:50,7/10/2018 8:50
145,Support staff,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:51,7/10/2018 8:51
145,Support staff,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:51,7/10/2018 8:51
146,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:52,7/10/2018 8:52
146,Incoming,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:52,7/10/2018 8:52
147,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:52,7/10/2018 8:52
147,Incoming,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:52,7/10/2018 8:52
148,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:53,7/10/2018 8:53
148,Incoming,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:53,7/10/2018 8:53
